Year,State,District,target_yield,Season,Crop,yield,ndvi,rainfall,temperature
1978,Madhya Pradesh,Rajgarh,460.0,,,,,,
1979,Madhya Pradesh,Rajgarh,21.74,,,,,,
1980,Madhya Pradesh,Rajgarh,556.96,,,,,,
1981,Madhya Pradesh,Rajgarh,506.17,,,,,,
1982,Madhya Pradesh,Rajgarh,554.22,,,,,,
1983,Madhya Pradesh,Rajgarh,813.33,,,,,,
1984,Madhya Pradesh,Rajgarh,426.47,,,,,,
1985,Madhya Pradesh,Rajgarh,865.38,,,,,,
1986,Madhya Pradesh,Rajgarh,458.33,,,,,,
1987,Madhya Pradesh,Rajgarh,750.0,,,,,,
1988,Madhya Pradesh,Rajgarh,666.67,,,,,,
1989,Madhya Pradesh,Rajgarh,294.12,,,,,,
1990,Madhya Pradesh,Rajgarh,884.62,,,,,,
1991,Madhya Pradesh,Rajgarh,318.18,,,,,,
1992,Madhya Pradesh,Rajgarh,523.81,,,,,,
1993,Madhya Pradesh,Rajgarh,800.0,,,,,,
1994,Madhya Pradesh,Rajgarh,578.95,,,,,,
1995,Madhya Pradesh,Rajgarh,166.67,,,,,,
1996,Madhya Pradesh,Rajgarh,611.11,,,,,,
1997,Madhya Pradesh,Rajgarh,736.84,,,,,,
1998,Madhya Pradesh,Rajgarh,736.84,,,,,,
1999,Madhya Pradesh,Rajgarh,933.33,,,,,,
2000,Madhya Pradesh,Rajgarh,230.77,,,,,,
2001,Madhya Pradesh,Rajgarh,416.67,,,,,,
2002,Madhya Pradesh,Rajgarh,272.73,,,,,,
2003,Madhya Pradesh,Rajgarh,727.27,,,,,,
2004,Madhya Pradesh,Rajgarh,635.42,,,,,,
2005,Madhya Pradesh,Rajgarh,494.25,,,,,,
2006,Madhya Pradesh,Rajgarh,577.32,,,,,,
2007,Madhya Pradesh,Rajgarh,444.44,,,,,,
2008,Madhya Pradesh,Rajgarh,371.43,,,,,,
2009,Madhya Pradesh,Rajgarh,500.0,,,,,,
2010,Madhya Pradesh,Rajgarh,800.0,,,,,,
2011,Madhya Pradesh,Rajgarh,833.33,,,,,,
2012,Madhya Pradesh,Rajgarh,809.52,,,,,,
2013,Madhya Pradesh,Rajgarh,666.67,,,,,,
2014,Madhya Pradesh,Rajgarh,670.0,,,,,,
2015,Madhya Pradesh,Rajgarh,1330.0,,,,,,
2016,Madhya Pradesh,Rajgarh,2660.0,,,,,,
2017,Madhya Pradesh,Rajgarh,648.7,,,,,,
1966,Madhya Pradesh,Shajapur,400.0,,,,,,
1967,Madhya Pradesh,Shajapur,400.0,,,,,,
1968,Madhya Pradesh,Shajapur,444.44,,,,,,
1969,Madhya Pradesh,Shajapur,476.19,,,,,,
1970,Madhya Pradesh,Shajapur,520.83,,,,,,
1971,Madhya Pradesh,Shajapur,550.0,,,,,,
1972,Madhya Pradesh,Shajapur,380.28,,,,,,
1973,Madhya Pradesh,Shajapur,671.43,,,,,,
1974,Madhya Pradesh,Shajapur,428.57,,,,,,
1975,Madhya Pradesh,Shajapur,616.44,,,,,,
1976,Madhya Pradesh,Shajapur,606.06,,,,,,
1977,Madhya Pradesh,Shajapur,619.72,,,,,,
1978,Madhya Pradesh,Shajapur,571.43,,,,,,
1979,Madhya Pradesh,Shajapur,180.33,,,,,,
1980,Madhya Pradesh,Shajapur,433.96,,,,,,
1981,Madhya Pradesh,Shajapur,387.76,,,,,,
1982,Madhya Pradesh,Shajapur,551.02,,,,,,
1983,Madhya Pradesh,Shajapur,692.31,,,,,,
1984,Madhya Pradesh,Shajapur,567.57,,,,,,
1985,Madhya Pradesh,Shajapur,689.66,,,,,,
1986,Madhya Pradesh,Shajapur,545.45,,,,,,
1987,Madhya Pradesh,Shajapur,666.67,,,,,,
1988,Madhya Pradesh,Shajapur,600.0,,,,,,
1989,Madhya Pradesh,Shajapur,518.52,,,,,,
1990,Madhya Pradesh,Shajapur,687.5,,,,,,
1991,Madhya Pradesh,Shajapur,692.31,,,,,,
1992,Madhya Pradesh,Shajapur,571.43,,,,,,
1993,Madhya Pradesh,Shajapur,750.0,,,,,,
1994,Madhya Pradesh,Shajapur,800.0,,,,,,
1995,Madhya Pradesh,Shajapur,500.0,,,,,,
1996,Madhya Pradesh,Shajapur,750.0,,,,,,
1997,Madhya Pradesh,Shajapur,750.0,,,,,,
1998,Madhya Pradesh,Shajapur,750.0,,,,,,
1999,Madhya Pradesh,Shajapur,857.14,,,,,,
2000,Madhya Pradesh,Shajapur,500.0,,,,,,
2001,Madhya Pradesh,Shajapur,400.0,,,,,,
2002,Madhya Pradesh,Shajapur,500.0,,,,,,
2003,Madhya Pradesh,Shajapur,500.0,,,,,,
2004,Madhya Pradesh,Shajapur,583.33,,,,,,
2005,Madhya Pradesh,Shajapur,515.15,,,,,,
2006,Madhya Pradesh,Shajapur,433.33,,,,,,
2007,Madhya Pradesh,Shajapur,350.0,,,,,,
2008,Madhya Pradesh,Shajapur,350.0,,,,,,
2009,Madhya Pradesh,Shajapur,500.0,,,,,,
2010,Madhya Pradesh,Shajapur,1000.0,,,,,,
2011,Madhya Pradesh,Shajapur,1000.0,,,,,,
2012,Madhya Pradesh,Shajapur,571.43,,,,,,
2013,Madhya Pradesh,Shajapur,500.0,,,,,,
2014,Madhya Pradesh,Shajapur,0.0,,,,,,
2015,Madhya Pradesh,Shajapur,0.0,,,,,,
2016,Madhya Pradesh,Shajapur,0.0,,,,,,
2017,Madhya Pradesh,Shajapur,800.0,,,,,,
1966,Madhya Pradesh,Hoshangabad,400.0,,,,,,
1967,Madhya Pradesh,Hoshangabad,1000.0,,,,,,
1968,Madhya Pradesh,Hoshangabad,849.06,,,,,,
1969,Madhya Pradesh,Hoshangabad,833.33,,,,,,
1970,Madhya Pradesh,Hoshangabad,970.59,,,,,,
1971,Madhya Pradesh,Hoshangabad,1008.93,,,,,,
1972,Madhya Pradesh,Hoshangabad,758.33,,,,,,
1973,Madhya Pradesh,Hoshangabad,1135.14,,,,,,
1974,Madhya Pradesh,Hoshangabad,750.0,,,,,,
1975,Madhya Pradesh,Hoshangabad,886.79,,,,,,
1976,Madhya Pradesh,Hoshangabad,850.0,,,,,,
1977,Madhya Pradesh,Hoshangabad,933.96,,,,,,
1978,Madhya Pradesh,Hoshangabad,893.81,,,,,,
1979,Madhya Pradesh,Hoshangabad,352.94,,,,,,
1980,Madhya Pradesh,Hoshangabad,784.48,,,,,,
1981,Madhya Pradesh,Hoshangabad,846.77,,,,,,
1982,Madhya Pradesh,Hoshangabad,1081.97,,,,,,
1983,Madhya Pradesh,Hoshangabad,1171.88,,,,,,
1984,Madhya Pradesh,Hoshangabad,992.59,,,,,,
1985,Madhya Pradesh,Hoshangabad,1429.69,,,,,,
1986,Madhya Pradesh,Hoshangabad,1396.83,,,,,,
1987,Madhya Pradesh,Hoshangabad,1076.92,,,,,,
1988,Madhya Pradesh,Hoshangabad,991.38,,,,,,
1989,Madhya Pradesh,Hoshangabad,1033.33,,,,,,
1990,Madhya Pradesh,Hoshangabad,1205.13,,,,,,
1991,Madhya Pradesh,Hoshangabad,1358.97,,,,,,
1992,Madhya Pradesh,Hoshangabad,1196.26,,,,,,
1993,Madhya Pradesh,Hoshangabad,1271.03,,,,,,
1994,Madhya Pradesh,Hoshangabad,1344.09,,,,,,
1995,Madhya Pradesh,Hoshangabad,881.19,,,,,,
1996,Madhya Pradesh,Hoshangabad,1330.19,,,,,,
1997,Madhya Pradesh,Hoshangabad,1280.0,,,,,,
1998,Madhya Pradesh,Hoshangabad,1344.09,,,,,,
1999,Madhya Pradesh,Hoshangabad,1490.57,,,,,,
2000,Madhya Pradesh,Hoshangabad,1121.74,,,,,,
2001,Madhya Pradesh,Hoshangabad,1210.53,,,,,,
2002,Madhya Pradesh,Hoshangabad,1263.64,,,,,,
2003,Madhya Pradesh,Hoshangabad,1298.39,,,,,,
2004,Madhya Pradesh,Hoshangabad,963.65,,,,,,
2005,Madhya Pradesh,Hoshangabad,1300.33,,,,,,
2006,Madhya Pradesh,Hoshangabad,1338.98,,,,,,
2007,Madhya Pradesh,Hoshangabad,1088.3,,,,,,
2008,Madhya Pradesh,Hoshangabad,984.36,,,,,,
2009,Madhya Pradesh,Hoshangabad,1666.67,,,,,,
2010,Madhya Pradesh,Hoshangabad,2307.05,,,,,,
2011,Madhya Pradesh,Hoshangabad,2011.54,,,,,,
2012,Madhya Pradesh,Hoshangabad,2054.58,,,,,,
2013,Madhya Pradesh,Hoshangabad,1577.03,,,,,,
2014,Madhya Pradesh,Hoshangabad,1851.17,,,,,,
2015,Madhya Pradesh,Hoshangabad,2852.88,,,,,,
2016,Madhya Pradesh,Hoshangabad,2300.49,,,,,,
2017,Madhya Pradesh,Hoshangabad,2285.45,,,,,,
1966,Andhra Pradesh,Srikakulam,810.04,,,,,,
1967,Andhra Pradesh,Srikakulam,696.75,,,,,,
1968,Andhra Pradesh,Srikakulam,563.38,,,,,,
1969,Andhra Pradesh,Srikakulam,862.56,,,,,,
1970,Andhra Pradesh,Srikakulam,1059.77,,,,,,
1971,Andhra Pradesh,Srikakulam,1433.71,,,,,,
1972,Andhra Pradesh,Srikakulam,1118.51,,,,,,
1973,Andhra Pradesh,Srikakulam,1202.35,,,,,,
1974,Andhra Pradesh,Srikakulam,711.95,,,,,,
1975,Andhra Pradesh,Srikakulam,1301.26,,,,,,
1976,Andhra Pradesh,Srikakulam,810.8,,,,,,
1977,Andhra Pradesh,Srikakulam,860.18,,,,,,
1978,Andhra Pradesh,Srikakulam,1055.11,,,,,,
1979,Andhra Pradesh,Srikakulam,985.02,,,,,,
1980,Andhra Pradesh,Srikakulam,1398.55,,,,,,
1981,Andhra Pradesh,Srikakulam,1439.56,,,,,,
1982,Andhra Pradesh,Srikakulam,1557.23,,,,,,
1983,Andhra Pradesh,Srikakulam,1905.75,,,,,,
1984,Andhra Pradesh,Srikakulam,1225.17,,,,,,
1985,Andhra Pradesh,Srikakulam,2015.48,,,,,,
1986,Andhra Pradesh,Srikakulam,1589.93,,,,,,
1987,Andhra Pradesh,Srikakulam,1266.67,,,,,,
1988,Andhra Pradesh,Srikakulam,2026.39,,,,,,
1989,Andhra Pradesh,Srikakulam,2171.34,,,,,,
1990,Andhra Pradesh,Srikakulam,1772.81,,,,,,
1991,Andhra Pradesh,Srikakulam,2321.49,,,,,,
1992,Andhra Pradesh,Srikakulam,2231.16,,,,,,
1993,Andhra Pradesh,Srikakulam,1977.87,,,,,,
1994,Andhra Pradesh,Srikakulam,1871.32,,,,,,
1995,Andhra Pradesh,Srikakulam,1996.55,,,,,,
1996,Andhra Pradesh,Srikakulam,1922.0,,,,,,
1997,Andhra Pradesh,Srikakulam,1483.17,,,,,,
1998,Andhra Pradesh,Srikakulam,2017.05,,,,,,
1999,Andhra Pradesh,Srikakulam,1777.57,,,,,,
2000,Andhra Pradesh,Srikakulam,1862.16,,,,,,
2001,Andhra Pradesh,Srikakulam,2132.62,,,,,,
2002,Andhra Pradesh,Srikakulam,1630.27,,,,,,
2003,Andhra Pradesh,Srikakulam,2210.18,,,,,,
2004,Andhra Pradesh,Srikakulam,2344.28,,,,,,
2005,Andhra Pradesh,Srikakulam,1701.41,,,,,,
2006,Andhra Pradesh,Srikakulam,2496.33,,,,,,
2007,Andhra Pradesh,Srikakulam,3014.59,,,,,,
2008,Andhra Pradesh,Srikakulam,2104.12,,,,,,
2009,Andhra Pradesh,Srikakulam,2128.29,,,,,,
2010,Andhra Pradesh,Srikakulam,1282.12,,,,,,
2011,Andhra Pradesh,Srikakulam,1971.75,,,,,,
2012,Andhra Pradesh,Srikakulam,2537.01,,,,,,
2013,Andhra Pradesh,Srikakulam,1914.64,,,,,,
2014,Andhra Pradesh,Srikakulam,2251.58,,,,,,
2015,Andhra Pradesh,Srikakulam,2459.96,,,,,,
2016,Andhra Pradesh,Srikakulam,2987.93,,,,,,
2017,Andhra Pradesh,Srikakulam,2635.76,,,,,,
1966,Andhra Pradesh,Visakhapatnam,598.68,,,,,,
1967,Andhra Pradesh,Visakhapatnam,414.01,,,,,,
1968,Andhra Pradesh,Visakhapatnam,718.32,,,,,,
1969,Andhra Pradesh,Visakhapatnam,990.89,,,,,,
1970,Andhra Pradesh,Visakhapatnam,1174.62,,,,,,
1971,Andhra Pradesh,Visakhapatnam,1401.3,,,,,,
1972,Andhra Pradesh,Visakhapatnam,1022.84,,,,,,
1973,Andhra Pradesh,Visakhapatnam,931.27,,,,,,
1974,Andhra Pradesh,Visakhapatnam,900.91,,,,,,
1975,Andhra Pradesh,Visakhapatnam,1259.93,,,,,,
1976,Andhra Pradesh,Visakhapatnam,471.73,,,,,,
1977,Andhra Pradesh,Visakhapatnam,933.07,,,,,,
1978,Andhra Pradesh,Visakhapatnam,1012.07,,,,,,
1979,Andhra Pradesh,Visakhapatnam,1144.67,,,,,,
1980,Andhra Pradesh,Visakhapatnam,1524.1,,,,,,
1981,Andhra Pradesh,Visakhapatnam,1050.63,,,,,,
1982,Andhra Pradesh,Visakhapatnam,905.93,,,,,,
1983,Andhra Pradesh,Visakhapatnam,1576.11,,,,,,
1984,Andhra Pradesh,Visakhapatnam,1106.06,,,,,,
1985,Andhra Pradesh,Visakhapatnam,1294.83,,,,,,
1986,Andhra Pradesh,Visakhapatnam,1485.03,,,,,,
1987,Andhra Pradesh,Visakhapatnam,1034.48,,,,,,
1988,Andhra Pradesh,Visakhapatnam,1926.93,,,,,,
1989,Andhra Pradesh,Visakhapatnam,1948.3,,,,,,
1990,Andhra Pradesh,Visakhapatnam,1771.0,,,,,,
1991,Andhra Pradesh,Visakhapatnam,1706.2,,,,,,
1992,Andhra Pradesh,Visakhapatnam,1980.35,,,,,,
1993,Andhra Pradesh,Visakhapatnam,1381.88,,,,,,
1994,Andhra Pradesh,Visakhapatnam,1461.54,,,,,,
1995,Andhra Pradesh,Visakhapatnam,2000.0,,,,,,
1996,Andhra Pradesh,Visakhapatnam,1927.81,,,,,,
1997,Andhra Pradesh,Visakhapatnam,1115.5,,,,,,
1998,Andhra Pradesh,Visakhapatnam,1655.08,,,,,,
1999,Andhra Pradesh,Visakhapatnam,1577.64,,,,,,
2000,Andhra Pradesh,Visakhapatnam,1629.35,,,,,,
2001,Andhra Pradesh,Visakhapatnam,1770.74,,,,,,
2002,Andhra Pradesh,Visakhapatnam,1098.65,,,,,,
2003,Andhra Pradesh,Visakhapatnam,1819.64,,,,,,
2004,Andhra Pradesh,Visakhapatnam,1931.53,,,,,,
2005,Andhra Pradesh,Visakhapatnam,1470.2,,,,,,
2006,Andhra Pradesh,Visakhapatnam,2097.37,,,,,,
2007,Andhra Pradesh,Visakhapatnam,2371.69,,,,,,
2008,Andhra Pradesh,Visakhapatnam,1961.56,,,,,,
2009,Andhra Pradesh,Visakhapatnam,1576.41,,,,,,
2010,Andhra Pradesh,Visakhapatnam,2040.45,,,,,,
2011,Andhra Pradesh,Visakhapatnam,1740.86,,,,,,
2012,Andhra Pradesh,Visakhapatnam,1873.71,,,,,,
2013,Andhra Pradesh,Visakhapatnam,2015.54,,,,,,
2014,Andhra Pradesh,Visakhapatnam,2049.37,,,,,,
2015,Andhra Pradesh,Visakhapatnam,2438.59,,,,,,
2016,Andhra Pradesh,Visakhapatnam,2531.46,,,,,,
2017,Andhra Pradesh,Visakhapatnam,2429.45,,,,,,
1966,Andhra Pradesh,East Godavari,1555.56,,,,,,
1967,Andhra Pradesh,East Godavari,1556.21,,,,,,
1968,Andhra Pradesh,East Godavari,1519.88,,,,,,
1969,Andhra Pradesh,East Godavari,1165.18,,,,,,
1970,Andhra Pradesh,East Godavari,1210.76,,,,,,
1971,Andhra Pradesh,East Godavari,1608.04,,,,,,
1972,Andhra Pradesh,East Godavari,1596.7,,,,,,
1973,Andhra Pradesh,East Godavari,1699.68,,,,,,
1974,Andhra Pradesh,East Godavari,1904.95,,,,,,
1975,Andhra Pradesh,East Godavari,1834.8,,,,,,
1976,Andhra Pradesh,East Godavari,1406.23,,,,,,
1977,Andhra Pradesh,East Godavari,1990.9,,,,,,
1978,Andhra Pradesh,East Godavari,2141.38,,,,,,
1979,Andhra Pradesh,East Godavari,2070.55,,,,,,
1980,Andhra Pradesh,East Godavari,2252.03,,,,,,
1981,Andhra Pradesh,East Godavari,2373.68,,,,,,
1982,Andhra Pradesh,East Godavari,2452.59,,,,,,
1983,Andhra Pradesh,East Godavari,2211.13,,,,,,
1984,Andhra Pradesh,East Godavari,2427.6,,,,,,
1985,Andhra Pradesh,East Godavari,2414.57,,,,,,
1986,Andhra Pradesh,East Godavari,1786.07,,,,,,
1987,Andhra Pradesh,East Godavari,2414.69,,,,,,
1988,Andhra Pradesh,East Godavari,2724.64,,,,,,
1989,Andhra Pradesh,East Godavari,2578.5,,,,,,
1990,Andhra Pradesh,East Godavari,1966.11,,,,,,
1991,Andhra Pradesh,East Godavari,2247.3,,,,,,
1992,Andhra Pradesh,East Godavari,2569.7,,,,,,
1993,Andhra Pradesh,East Godavari,3065.82,,,,,,
1994,Andhra Pradesh,East Godavari,2512.5,,,,,,
1995,Andhra Pradesh,East Godavari,2727.27,,,,,,
1996,Andhra Pradesh,East Godavari,2409.95,,,,,,
1997,Andhra Pradesh,East Godavari,2502.72,,,,,,
1998,Andhra Pradesh,East Godavari,2521.74,,,,,,
1999,Andhra Pradesh,East Godavari,3135.74,,,,,,
2000,Andhra Pradesh,East Godavari,3278.63,,,,,,
2001,Andhra Pradesh,East Godavari,3440.34,,,,,,
2002,Andhra Pradesh,East Godavari,3465.12,,,,,,
2003,Andhra Pradesh,East Godavari,4078.98,,,,,,
2004,Andhra Pradesh,East Godavari,3897.35,,,,,,
2005,Andhra Pradesh,East Godavari,2967.45,,,,,,
2006,Andhra Pradesh,East Godavari,3511.17,,,,,,
2007,Andhra Pradesh,East Godavari,3696.84,,,,,,
2008,Andhra Pradesh,East Godavari,3690.07,,,,,,
2009,Andhra Pradesh,East Godavari,3500.23,,,,,,
2010,Andhra Pradesh,East Godavari,3306.99,,,,,,
2011,Andhra Pradesh,East Godavari,3491.14,,,,,,
2012,Andhra Pradesh,East Godavari,2747.49,,,,,,
2013,Andhra Pradesh,East Godavari,2994.24,,,,,,
2014,Andhra Pradesh,East Godavari,3966.38,,,,,,
2015,Andhra Pradesh,East Godavari,3786.79,,,,,,
2016,Andhra Pradesh,East Godavari,4237.51,,,,,,
2017,Andhra Pradesh,East Godavari,4327.61,,,,,,
1966,Andhra Pradesh,West Godavari,1644.26,,,,,,
1967,Andhra Pradesh,West Godavari,1761.27,,,,,,
1968,Andhra Pradesh,West Godavari,1870.53,,,,,,
1969,Andhra Pradesh,West Godavari,1518.51,,,,,,
1970,Andhra Pradesh,West Godavari,1714.62,,,,,,
1971,Andhra Pradesh,West Godavari,1919.55,,,,,,
1972,Andhra Pradesh,West Godavari,1967.5,,,,,,
1973,Andhra Pradesh,West Godavari,2047.39,,,,,,
1974,Andhra Pradesh,West Godavari,2185.82,,,,,,
1975,Andhra Pradesh,West Godavari,2085.26,,,,,,
1976,Andhra Pradesh,West Godavari,1553.18,,,,,,
1977,Andhra Pradesh,West Godavari,2164.45,,,,,,
1978,Andhra Pradesh,West Godavari,2287.34,,,,,,
1979,Andhra Pradesh,West Godavari,2453.55,,,,,,
1980,Andhra Pradesh,West Godavari,2511.85,,,,,,
1981,Andhra Pradesh,West Godavari,2610.6,,,,,,
1982,Andhra Pradesh,West Godavari,2877.9,,,,,,
1983,Andhra Pradesh,West Godavari,2390.35,,,,,,
1984,Andhra Pradesh,West Godavari,2716.5,,,,,,
1985,Andhra Pradesh,West Godavari,2596.54,,,,,,
1986,Andhra Pradesh,West Godavari,1802.94,,,,,,
1987,Andhra Pradesh,West Godavari,2683.52,,,,,,
1988,Andhra Pradesh,West Godavari,3045.69,,,,,,
1989,Andhra Pradesh,West Godavari,2138.06,,,,,,
1990,Andhra Pradesh,West Godavari,2302.64,,,,,,
1991,Andhra Pradesh,West Godavari,2560.32,,,,,,
1992,Andhra Pradesh,West Godavari,2911.75,,,,,,
1993,Andhra Pradesh,West Godavari,3229.31,,,,,,
1994,Andhra Pradesh,West Godavari,3127.98,,,,,,
1995,Andhra Pradesh,West Godavari,2685.9,,,,,,
1996,Andhra Pradesh,West Godavari,2420.94,,,,,,
1997,Andhra Pradesh,West Godavari,2972.73,,,,,,
1998,Andhra Pradesh,West Godavari,3278.51,,,,,,
1999,Andhra Pradesh,West Godavari,3184.58,,,,,,
2000,Andhra Pradesh,West Godavari,3504.31,,,,,,
2001,Andhra Pradesh,West Godavari,3556.57,,,,,,
2002,Andhra Pradesh,West Godavari,3512.05,,,,,,
2003,Andhra Pradesh,West Godavari,4094.68,,,,,,
2004,Andhra Pradesh,West Godavari,3927.55,,,,,,
2005,Andhra Pradesh,West Godavari,3056.52,,,,,,
2006,Andhra Pradesh,West Godavari,3587.48,,,,,,
2007,Andhra Pradesh,West Godavari,3680.81,,,,,,
2008,Andhra Pradesh,West Godavari,3552.77,,,,,,
2009,Andhra Pradesh,West Godavari,3393.57,,,,,,
2010,Andhra Pradesh,West Godavari,3264.52,,,,,,
2011,Andhra Pradesh,West Godavari,3596.77,,,,,,
2012,Andhra Pradesh,West Godavari,3051.62,,,,,,
2013,Andhra Pradesh,West Godavari,3191.34,,,,,,
2014,Andhra Pradesh,West Godavari,3968.63,,,,,,
2015,Andhra Pradesh,West Godavari,3859.61,,,,,,
2016,Andhra Pradesh,West Godavari,4171.38,,,,,,
2017,Andhra Pradesh,West Godavari,4307.75,,,,,,
1966,Andhra Pradesh,Krishna,1286.86,,,,,,
1967,Andhra Pradesh,Krishna,1617.5,,,,,,
1968,Andhra Pradesh,Krishna,1202.81,,,,,,
1969,Andhra Pradesh,Krishna,1126.38,,,,,,
1970,Andhra Pradesh,Krishna,1616.35,,,,,,
1971,Andhra Pradesh,Krishna,1641.87,,,,,,
1972,Andhra Pradesh,Krishna,1581.9,,,,,,
1973,Andhra Pradesh,Krishna,1706.32,,,,,,
1974,Andhra Pradesh,Krishna,1729.26,,,,,,
1975,Andhra Pradesh,Krishna,1552.28,,,,,,
1976,Andhra Pradesh,Krishna,1480.22,,,,,,
1977,Andhra Pradesh,Krishna,1289.43,,,,,,
1978,Andhra Pradesh,Krishna,1906.93,,,,,,
1979,Andhra Pradesh,Krishna,1831.75,,,,,,
1980,Andhra Pradesh,Krishna,1932.67,,,,,,
1981,Andhra Pradesh,Krishna,1953.04,,,,,,
1982,Andhra Pradesh,Krishna,2156.31,,,,,,
1983,Andhra Pradesh,Krishna,2171.67,,,,,,
1984,Andhra Pradesh,Krishna,2199.84,,,,,,
1985,Andhra Pradesh,Krishna,2607.43,,,,,,
1986,Andhra Pradesh,Krishna,2202.47,,,,,,
1987,Andhra Pradesh,Krishna,2241.19,,,,,,
1988,Andhra Pradesh,Krishna,2828.43,,,,,,
1989,Andhra Pradesh,Krishna,2558.5,,,,,,
1990,Andhra Pradesh,Krishna,2634.45,,,,,,
1991,Andhra Pradesh,Krishna,2410.65,,,,,,
1992,Andhra Pradesh,Krishna,2764.87,,,,,,
1993,Andhra Pradesh,Krishna,2946.24,,,,,,
1994,Andhra Pradesh,Krishna,2831.23,,,,,,
1995,Andhra Pradesh,Krishna,2690.22,,,,,,
1996,Andhra Pradesh,Krishna,3069.23,,,,,,
1997,Andhra Pradesh,Krishna,2922.46,,,,,,
1998,Andhra Pradesh,Krishna,3007.21,,,,,,
1999,Andhra Pradesh,Krishna,3180.14,,,,,,
2000,Andhra Pradesh,Krishna,3239.23,,,,,,
2001,Andhra Pradesh,Krishna,3123.32,,,,,,
2002,Andhra Pradesh,Krishna,3117.89,,,,,,
2003,Andhra Pradesh,Krishna,2375.11,,,,,,
2004,Andhra Pradesh,Krishna,3276.01,,,,,,
2005,Andhra Pradesh,Krishna,3080.31,,,,,,
2006,Andhra Pradesh,Krishna,2532.08,,,,,,
2007,Andhra Pradesh,Krishna,3659.45,,,,,,
2008,Andhra Pradesh,Krishna,3617.72,,,,,,
2009,Andhra Pradesh,Krishna,3592.23,,,,,,
2010,Andhra Pradesh,Krishna,3069.43,,,,,,
2011,Andhra Pradesh,Krishna,3718.49,,,,,,
2012,Andhra Pradesh,Krishna,3593.24,,,,,,
2013,Andhra Pradesh,Krishna,3235.49,,,,,,
2014,Andhra Pradesh,Krishna,3467.57,,,,,,
2015,Andhra Pradesh,Krishna,3455.86,,,,,,
2016,Andhra Pradesh,Krishna,3879.35,,,,,,
2017,Andhra Pradesh,Krishna,3988.57,,,,,,
1966,Andhra Pradesh,Guntur,1462.96,,,,,,
1967,Andhra Pradesh,Guntur,1568.42,,,,,,
1968,Andhra Pradesh,Guntur,1302.95,,,,,,
1969,Andhra Pradesh,Guntur,1285.06,,,,,,
1970,Andhra Pradesh,Guntur,1520.68,,,,,,
1971,Andhra Pradesh,Guntur,1673.1,,,,,,
1972,Andhra Pradesh,Guntur,1716.17,,,,,,
1973,Andhra Pradesh,Guntur,1931.7,,,,,,
1974,Andhra Pradesh,Guntur,1745.76,,,,,,
1975,Andhra Pradesh,Guntur,1504.19,,,,,,
1976,Andhra Pradesh,Guntur,1335.76,,,,,,
1977,Andhra Pradesh,Guntur,1052.64,,,,,,
1978,Andhra Pradesh,Guntur,1708.74,,,,,,
1979,Andhra Pradesh,Guntur,1793.87,,,,,,
1980,Andhra Pradesh,Guntur,2256.0,,,,,,
1981,Andhra Pradesh,Guntur,2252.05,,,,,,
1982,Andhra Pradesh,Guntur,2336.55,,,,,,
1983,Andhra Pradesh,Guntur,2634.09,,,,,,
1984,Andhra Pradesh,Guntur,1986.39,,,,,,
1985,Andhra Pradesh,Guntur,2694.72,,,,,,
1986,Andhra Pradesh,Guntur,2880.22,,,,,,
1987,Andhra Pradesh,Guntur,2496.62,,,,,,
1988,Andhra Pradesh,Guntur,3095.44,,,,,,
1989,Andhra Pradesh,Guntur,2990.37,,,,,,
1990,Andhra Pradesh,Guntur,3115.02,,,,,,
1991,Andhra Pradesh,Guntur,2744.7,,,,,,
1992,Andhra Pradesh,Guntur,2822.78,,,,,,
1993,Andhra Pradesh,Guntur,3232.75,,,,,,
1994,Andhra Pradesh,Guntur,2602.18,,,,,,
1995,Andhra Pradesh,Guntur,2890.5,,,,,,
1996,Andhra Pradesh,Guntur,3136.31,,,,,,
1997,Andhra Pradesh,Guntur,2842.5,,,,,,
1998,Andhra Pradesh,Guntur,3122.49,,,,,,
1999,Andhra Pradesh,Guntur,3117.55,,,,,,
2000,Andhra Pradesh,Guntur,3359.95,,,,,,
2001,Andhra Pradesh,Guntur,3518.86,,,,,,
2002,Andhra Pradesh,Guntur,3066.81,,,,,,
2003,Andhra Pradesh,Guntur,2813.59,,,,,,
2004,Andhra Pradesh,Guntur,3446.8,,,,,,
2005,Andhra Pradesh,Guntur,3155.03,,,,,,
2006,Andhra Pradesh,Guntur,2890.78,,,,,,
2007,Andhra Pradesh,Guntur,3476.82,,,,,,
2008,Andhra Pradesh,Guntur,3480.46,,,,,,
2009,Andhra Pradesh,Guntur,3565.11,,,,,,
2010,Andhra Pradesh,Guntur,2715.51,,,,,,
2011,Andhra Pradesh,Guntur,3790.21,,,,,,
2012,Andhra Pradesh,Guntur,3504.99,,,,,,
2013,Andhra Pradesh,Guntur,3421.25,,,,,,
2014,Andhra Pradesh,Guntur,3891.24,,,,,,
2015,Andhra Pradesh,Guntur,3033.49,,,,,,
2016,Andhra Pradesh,Guntur,4124.67,,,,,,
2017,Andhra Pradesh,Guntur,4175.12,,,,,,
1966,Andhra Pradesh,S.P.S. Nellore,1289.68,,,,,,
1967,Andhra Pradesh,S.P.S. Nellore,1086.96,,,,,,
1968,Andhra Pradesh,S.P.S. Nellore,987.04,,,,,,
1969,Andhra Pradesh,S.P.S. Nellore,1207.41,,,,,,
