Year,State,District,target_yield,Season,Crop,yield,ndvi,rainfall,temperature
1979,Chhattisgarh,Raipur,528.55,,,,,,
1980,Chhattisgarh,Raipur,892.05,,,,,,
1981,Chhattisgarh,Raipur,989.87,,,,,,
1982,Chhattisgarh,Raipur,772.31,,,,,,
1983,Chhattisgarh,Raipur,1232.15,,,,,,
1984,Chhattisgarh,Raipur,1149.63,,,,,,
1985,Chhattisgarh,Raipur,1587.32,,,,,,
1986,Chhattisgarh,Raipur,989.0,,,,,,
1987,Chhattisgarh,Raipur,1231.14,,,,,,
1988,Chhattisgarh,Raipur,1026.81,,,,,,
1989,Chhattisgarh,Raipur,1418.61,,,,,,
1990,Chhattisgarh,Raipur,1363.15,,,,,,
1991,Chhattisgarh,Raipur,1427.0,,,,,,
1992,Chhattisgarh,Raipur,1609.95,,,,,,
1993,Chhattisgarh,Raipur,1598.11,,,,,,
1994,Chhattisgarh,Raipur,1448.82,,,,,,
1995,Chhattisgarh,Raipur,1447.49,,,,,,
1996,Chhattisgarh,Raipur,1683.87,,,,,,
1997,Chhattisgarh,Raipur,1106.25,,,,,,
1998,Chhattisgarh,Raipur,712.86,,,,,,
1999,Chhattisgarh,Raipur,1451.13,,,,,,
2000,Chhattisgarh,Raipur,518.81,,,,,,
2001,Chhattisgarh,Raipur,1241.74,,,,,,
2002,Chhattisgarh,Raipur,734.67,,,,,,
2003,Chhattisgarh,Raipur,1442.52,,,,,,
2004,Chhattisgarh,Raipur,1249.64,,,,,,
2005,Chhattisgarh,Raipur,1249.64,,,,,,
2006,Chhattisgarh,Raipur,1442.43,,,,,,
2007,Chhattisgarh,Raipur,1550.53,,,,,,
2008,Chhattisgarh,Raipur,1329.15,,,,,,
2009,Chhattisgarh,Raipur,1407.66,,,,,,
2010,Chhattisgarh,Raipur,1661.71,,,,,,
2011,Chhattisgarh,Raipur,1483.67,,,,,,
2012,Chhattisgarh,Raipur,1987.25,,,,,,
2013,Chhattisgarh,Raipur,1733.23,,,,,,
2014,Chhattisgarh,Raipur,2055.8,,,,,,
2015,Chhattisgarh,Raipur,1431.57,,,,,,
2016,Chhattisgarh,Raipur,2410.09,,,,,,
2017,Chhattisgarh,Raipur,1585.96,,,,,,
1966,Chhattisgarh,Bilaspur,520.83,,,,,,
1967,Chhattisgarh,Bilaspur,875.0,,,,,,
1968,Chhattisgarh,Bilaspur,660.84,,,,,,
1969,Chhattisgarh,Bilaspur,719.27,,,,,,
1970,Chhattisgarh,Bilaspur,930.96,,,,,,
1971,Chhattisgarh,Bilaspur,890.98,,,,,,
1972,Chhattisgarh,Bilaspur,840.15,,,,,,
1973,Chhattisgarh,Bilaspur,778.19,,,,,,
1974,Chhattisgarh,Bilaspur,767.47,,,,,,
1975,Chhattisgarh,Bilaspur,1008.9,,,,,,
1976,Chhattisgarh,Bilaspur,660.76,,,,,,
1977,Chhattisgarh,Bilaspur,1066.75,,,,,,
